English,Ingleses
Accused the,Acusado el
to advance,A avance
agreement an,Acuerdo un
alibi an,Coartada un
allege to,Alega a
apology an,Disculpa un
appeal,Apelación
arrangement agreement,Acuerdo de arreglo
arrest to,Arresto a
attest to,Atestigua a
attorney,Abogado
authorise to,Autoriza a
award an,Premio un
award to,Premio a
bail,Fianza
bailiff,Alguacil
bond,Vínculo
case,Caso
charge to,Cargo a
client,Cliente
complainant the,Querellante el
contract,Contrato
conviction a,Condena un
costs,Cuesta
court of justice,Tribunal de justicia
criminal a,Delincuente un
damages,Avería
decision,Decisión
deed,Acción
defend to,Defiende a
document,Documento
evidence,Evidencia
execution,Ejecución
executor,Ejecutor
fee,Coste
fine,Multa
information to give,Información para dar
injunction,Mandato
inventory,Inventario
jail,Prisión
judge the,Juez el
jurisdiction,Jurisdicción
jurisprudence,Jurisprudencia
law-suit,Ley-traje
non-suit to,No-traje a
parchment,Pergamino
pardon,Perdón
penal,Penal
perjury,Perjurio
police-office,Policial-oficina
officer,Agente
station,Estación
proof,Prueba
prosecution,Procesamiento
punishment,Castigo
robbery,Robo
seal a,Sello un
sentence a,Frase un
sheriff,Sheriff
statement,Declaración
sue to,Demanda a
suit,Traje
summons,Convoca
theft,Robo
thief,Ladrón
trial,Prueba
verdict,Veredicto
witness,Testigo
